,YEAR,COMPANY,VOLUME,EARNINGS,COGS,SALES,CASH,INVESTMENTS,RECEIVABLES,INVENTORY,DEBTS,PRICE,BAN,MARKET CAP,ValueARG,VolumeARG
93,2021/3/0/0,GDT,179803580000.0,5700485739.0,23692203745.0,32553164601.0,3808743579.0,126000079062.0,17872982397.0,83927851298.0,93505080038.0,59.8,0.0,0.0,3134068.888888889,53344.444444444445
94,2021/3/0/0,GIL,432000000000.0,18351907324.0,534305006847.0,629259693484.0,719872413278.0,528368572727.0,434112598469.0,684901896946.0,1605731459615.0,67.6,0.0,0.0,43158418.88888889,629766.6666666666
95,2021/3/0/0,GMC,300052800000.0,-6841037882.0,187268507453.0,204083068369.0,319032764809.0,,92071323041.0,173415885837.0,133505020045.0,27.25,0.0,0.0,123768.125,4600.0
96,2021/3/0/0,GSP,360000000000.0,18989832208.0,297784343572.0,328453183728.0,73721950102.0,103000000000.0,132316017851.0,19190445990.0,352030054696.0,16.4,0.0,0.0,8895043.333333334,540011.1111111111
97,2021/3/0/0,GTA,104000000000.0,-1713887922.0,83925213455.0,86892143053.0,13372068708.0,338200000000.0,38154224260.0,63274934332.0,342484970021.0,23.35,0.0,0.0,2098042.222222222,100833.33333333333
98,2021/3/0/0,GTN,2500000000000.0,70871996389.0,572450479836.0,796062909532.0,352436546511.0,2286180940000.0,327292386802.0,206273277298.0,317600019613.0,21.0,0.0,0.0,30947243.333333332,1540688.888888889
99,2021/3/0/0,GVR,40000000000000.0,1533483373924.0,4061708499728.0,6151044219297.0,7325879254255.0,8879988352636.0,2567273942566.0,3610527286106.0,8797935424571.0,39.35,0.0,0.0,189926947.2222222,4846666.666666667
100,2021/3/0/0,HAG,9274679470000.0,21743125000.0,377623588000.0,554141153000.0,108787149000.0,,5482683651000.0,365539129000.0,5340138869000.0,5.51,0.0,0.0,62485068.55555555,12003422.222222222
101,2021/3/0/0,HAH,487827510000.0,100763593642.0,335769570168.0,475604864604.0,217137842865.0,54099281797.0,500490570532.0,57752820498.0,500448978662.0,69.1,0.0,0.0,122321003.33333333,1745177.7777777778
102,2021/3/0/0,HAI,1826827990000.0,2582037025.0,127761371401.0,136937234068.0,5292105720.0,276453768950.0,2053954901558.0,344460901284.0,877056993455.0,5.19,0.0,0.0,27372791.888888888,5610833.333333333
103,2021/3/0/0,HAP,556266210000.0,11035052427.0,114902857798.0,142228792895.0,15503891007.0,50600148800.0,318092522214.0,85386939116.0,83015702716.0,15.5,0.0,0.0,18092806.666666668,1160300.0
104,2021/3/0/0,HAS,80000000000.0,347742642.0,22670020024.0,25100753184.0,9731296429.0,12329884690.0,153984330284.0,11472439649.0,70467749237.0,12.9,0.0,0.0,26967.0,2100.0
105,2021/3/0/0,HAX,477669820000.0,-33341063266.0,709676003384.0,708890240943.0,97582601893.0,,105922628409.0,756411263143.0,715157021874.0,24.45,0.0,0.0,34350832.777777776,1422355.5555555555
106,2021/3/0/0,HBC,2308753980000.0,5234114754.0,1976263873100.0,2092074031689.0,360956015871.0,71628593102.0,10566567720724.0,2952975049521.0,10950279880443.0,20.2,0.0,0.0,182282113.8888889,10167855.555555556
107,2021/3/0/0,HCD,270000000000.0,17161659185.0,160341875857.0,176952152683.0,27807735758.0,36000000000.0,155206308624.0,178938306812.0,143677861390.0,13.75,0.0,0.0,25635158.888888888,1951133.3333333333
108,2021/3/0/0,HDC,864696640000.0,66554025829.0,180526738064.0,281188955795.0,55039110748.0,59544371084.0,679878500566.0,1272501633894.0,1245389860080.0,106.9,0.0,0.0,68214802.22222222,688644.4444444445
109,2021/3/0/0,HDG,1636317180000.0,247940305498.0,219611097846.0,633178174857.0,494839516566.0,321192436636.0,1522234241488.0,1170321962620.0,4337712954266.0,67.1,0.0,0.0,97675425.55555555,1484988.888888889
110,2021/3/0/0,HHP,200698240000.0,7838211940.0,174449317319.0,189353734625.0,10061308680.0,13530000000.0,174530114395.0,74625119473.0,257046537923.0,14.4,0.0,0.0,8250864.444444444,567988.8888888889
