,YEAR,FOMULA,COMPANY,PRICE,BAN,VOLUME,MARKET CAP,EARNINGS,COGS,SALES,CASH,INVESTMENTS,RECEIVABLES,INVENTORY,DEBTS,PROFIT,ValueARG,VolumeARG
63.00,2021/2/0/0,,DMC,49.20,56.70,347274650000.00,1708591278000.00,42408902429.00,259393178471.00,363320531233.00,70270745741.00,225000000000.00,759654640977.00,293180744459.00,292675193603.00,0.00,1142153846.15,24972.73
64.00,2021/2/0/0,,DPG,36.00,85.90,449998100000.00,1619993160000.00,104478609554.00,351768803833.00,527460904783.00,753534233367.00,25205442500.00,620172499693.00,616795825406.00,1938029944234.00,0.00,37507923076.92,1160272.73
65.00,2021/2/0/0,,DPM,18.35,49.80,3914000000000.00,7182190000000.00,693528387403.00,1990446796274.00,2930745559625.00,2627446104955.00,2555000000000.00,335683291061.00,1498198311726.00,2152828012328.00,0.00,91259384615.38,3419281.82
66.00,2021/2/0/0,,DPR,46.90,82.10,430000000000.00,2016700000000.00,34772166181.00,162219859599.00,218046211062.00,293040600774.00,623899765813.00,75518200805.00,217391261306.00,292591159606.00,0.00,5778153846.15,96290.91
67.00,2021/2/0/0,,DQC,21.60,26.45,343594160000.00,742163385600.00,2724477787.00,112813326872.00,170386361907.00,78081824506.00,49569061875.00,406700269795.00,331090046420.00,395015351829.00,0.00,639615384.62,34390.91
68.00,2021/2/0/0,,DRC,27.00,34.05,1187926050000.00,3207400335000.00,106231108158.00,978104855055.00,1204595990276.00,29789506250.00,220000000000.00,235099091812.00,1064526017027.00,963968383961.00,0.00,77962769230.77,2206172.73
69.00,2021/2/0/0,,DRH,10.40,24.30,609999330000.00,634399303200.00,-1852825916.00,2997146798.00,4030061188.00,22784182040.00,4440038771.00,820566895818.00,860617200415.00,1586896185424.00,0.00,5762000000.00,672238.46
70.00,2021/2/0/0,,DSN,43.65,45.10,120830090000.00,527423342850.00,3306738736.00,8341531033.00,14097951818.00,20107027872.00,146083535460.00,2708360980.00,941967707.00,19005852909.00,0.00,318307692.31,8066.67
71.00,2021/2/0/0,,DTA,10.40,26.10,180598320000.00,187822252800.00,2980650429.00,15725754867.00,20824219480.00,83997604556.00,2000000000.00,50884196575.00,5792534996.00,282978604198.00,0.00,416615384.62,46554.55
72.00,2021/2/0/0,,DVP,46.50,60.60,400000000000.00,1860000000000.00,81277137605.00,61245448210.00,166336805751.00,17559596829.00,978000000000.00,87645853749.00,10369951546.00,212388736909.00,0.00,7675846153.85,137350.00
73.00,2021/2/0/0,,DXG,23.30,23.75,5200346670000.00,12116807741100.00,478698650191.00,1606160135235.00,3563155868466.00,4564859114221.00,1133229106000.00,9201689400191.00,9639546768367.00,11465900955024.00,0.00,105175000000.00,4907581.82
74.00,2021/2/0/0,,ELC,12.05,28.50,509282430000.00,613685328150.00,8503605424.00,84108350787.00,112315455663.00,195398543483.00,28936781529.00,667354940978.00,167276207519.00,481355520252.00,0.00,9270076923.08,576591.67
