Time,FOMULA,COMPANY,PRICE,BAN,VOLUME,MARKET CAP,EARNINGS,COGS,SALES,CASH,INVESTMENTS,RECEIVABLES,INVENTORY,DEBTS,PROFIT,VolumeARG,ValueARG
2020/1/0/0,-4.233598385,DPG,23.9,21.1,4.5E+11,1.0755E+13,44115329001,3.42E+11,4.74E+11,4.49E+11,10205442500,7.51E+11,5.08E+11,1.59E+12,0.841004184,284888,6883900000
2020/1/0/0,-0.702508858,DPM,13.95,14.15,3.91E+12,5.45445E+13,1.06E+11,1.36E+12,1.7E+12,2.93E+12,1.1E+12,4.19E+11,1.33E+12,2.05E+12,1.014336918,3419034,49992700000
2020/1/0/0,-1.857579925,DPR,37.2,38,4.3E+11,1.5996E+13,27348045561,64122890971,1.02E+11,1.97E+11,7.67E+11,85671816791,1.67E+11,4.13E+11,1.021505376,20705,753800000
2020/1/0/0,-11.93684475,DQC,16.5,15.8,3.44E+11,5.676E+12,3167666768,1.41E+11,1.91E+11,1.29E+11,65291770227,4.61E+11,4.27E+11,4.47E+11,0.957575758,23600,391600000
2020/1/0/0,-3127.540056,DRC,20,16.6,1.19E+12,2.38E+13,37440612312,6.85E+11,8.03E+11,17601242228,,2.23E+11,1.12E+12,8.55E+11,0.78,837529,15817100000
2020/1/0/0,-5416.950075,DRH,5.48,5.81,6.1E+11,3.3428E+12,8288628874,36039921466,49108260772,15252348028,389999997,7.82E+11,8.13E+11,1.55E+12,1.060218978,1427842,7288000000
2020/1/0/0,-0.42473127,DRL,51.5,50.8,95000000000,4.8925E+12,12157478587,4898985773,18807929384,51956101129,15000000000,14000668963,773752280,4187215730,0.986407767,1524,79000000
2020/1/0/0,-0.760565349,DSN,44.5,41,1.21E+11,5.3845E+12,4434450291,12727686701,22929639062,15610305829,1.56E+11,6667121435,712608068,27485674008,0.921348315,33522,1483400000
2020/1/0/0,-0.531594149,DTA,4.77,3.1,1.72E+11,8.2044E+11,-1481767059,1216480000,1844563902,20978666289,,69073671482,2048631748,1.14E+11,0.649895178,11469,60000000
2020/1/0/0,-13644.42566,DTL,16.85,11.05,6.14E+11,1.03459E+13,-95101711243,4.47E+11,4.01E+11,14425921507,,1.84E+11,1.65E+12,1.72E+12,0.65578635,0,0
2020/1/0/0,-2.103868222,DTT,15.5,13.35,81518200000,1.26353E+12,2415625815,34161555130,40901338373,32976207216,72000,28118318388,27925289066,46253911619,0.816129032,1,0
2020/1/0/0,-4.134511303,DVP,35.2,37.25,4E+11,1.408E+13,43995609397,46301866038,1.06E+11,24081463050,7.85E+11,58398073595,9997677786,69346255190,1.058238636,19625,654400000
2020/1/0/0,-113.391438,DXG,9.5,9.06,5.2E+12,4.94E+13,93689763043,2.38E+11,6.02E+11,7.66E+11,5.12E+11,8.28E+12,8.55E+12,7.78E+12,0.953684211,3490711,34489100000
2020/1/0/0,-86.81382821,DXV,2.5,2.46,99000000000,2.475E+11,408307544,41192123223,44552953660,4033089021,15500000000,55192781916,41553915225,27506718402,0.984,18134,45400000
