Time,COMPANY,VOLUME,EARNINGS,COGS,SALES,CASH,INVESTMENTS,RECEIVABLES,INVENTORY,DEBTS
2021/3/0/0,CIG,315399470000.0,13429630968,-6127732328.0,7602514087.0,2501659948,,393731387213,111638864220.0,447242100199
2021/3/0/0,CKG,824997810000.0,1715038430,17015305645.0,43468017718.0,49074613172,500000000.0,1301931809989,2915762360919.0,1949977180927
2021/3/0/0,CLC,262075830000.0,37223837510,435206961719.0,503752863641.0,87265692557,,234331868611,714446402343.0,333927123704
2021/3/0/0,CLL,340000000000.0,24076007451,33015998246.0,58977008154.0,232238821317,86206575342.0,51195710960,946096132.0,105252248421
2021/3/0/0,CLW,130000000000.0,1641941246,251500763116.0,272028232460.0,6891343454,75640302743.0,148360028711,14440355741.0,227518702182
2021/3/0/0,CMV,181558680000.0,4361423327,818565930348.0,852677360376.0,34204869320,15000000000.0,62761028320,201017402695.0,183842764820
2021/3/0/0,CMX,608175020000.0,27588136560,451072777014.0,526855937990.0,13973108022,,338955858534,915295850968.0,795717440755
2021/3/0/0,CNG,270000000000.0,10560570733,646419300093.0,683052582550.0,119182376116,64288000000.0,495318791986,45842201362.0,535416498928
2021/3/0/0,COM,141206280000.0,-3319708872,260401738173.0,278845072770.0,37454067147,14525857483.0,17849521372,177264940683.0,105622413345
2021/3/0/0,CRE,959999080000.0,78230105934,638453228279.0,842556588939.0,106365186241,317235367146.0,2015256957282,1053210846255.0,2189828374090
2021/3/0/0,CSM,1036264670000.0,-28417729071,947252353913.0,1011602038088.0,211898014224,,992753952970,1625512471336.0,2877648576421
2021/3/0/0,CSV,442000000000.0,39829839007,274654377033.0,356077648276.0,135381284459,125000000000.0,202128481980,284642090132.0,240038812675
2021/3/0/0,CTF,683000000000.0,-7175991047,322382629605.0,341507212095.0,52099827301,,675135245985,543330533199.0,1021601164984
2021/3/0/0,CTI,629999970000.0,-6313182415,60979693705.0,81596883589.0,66343310119,,271022500661,188842215318.0,489080006062
2021/3/0/0,CVT,366908870000.0,39267866633,313803976463.0,389358573367.0,29414688032,252400000000.0,142214432249,488152119973.0,883089300138
2021/3/0/0,D2D,303047580000.0,85699334526,37343493122.0,146692799284.0,28952689032,712000000000.0,134888000492,145924206061.0,254680064376
2021/3/0/0,DAG,595641120000.0,7497528921,407654974674.0,436451473164.0,16391125066,80800000000.0,521967673243,657602090011.0,1095861692353
2021/3/0/0,DAT,460054130000.0,2793015181,386997904594.0,399814536606.0,296056639935,196893691018.0,464446094208,56819931389.0,720517302302
2021/3/0/0,DBC,1152394300000.0,138009726512,2297706723628.0,2681948911925.0,174685602659,543895764510.0,516887656566,4249678421172.0,4747387240658
2021/3/0/0,DBD,576124440000.0,41143484495,361065184785.0,553827724807.0,74101897112,69541393300.0,591981942544,309007532788.0,390851711462
2021/3/0/0,DBT,142051160000.0,40080904,94647573654.0,134593807374.0,16851439838,21000000000.0,153606709297,364894741081.0,523465271674
2021/3/0/0,DC4,335994650000.0,5619307889,85410147322.0,100914933625.0,64486276947,488109.0,288327107790,272145334537.0,316265583685
2021/3/0/0,DCL,588328240000.0,16932484164,105782702484.0,149517241159.0,11302078386,548320184931.0,237893543972,303764696714.0,546766586440
2021/3/0/0,DCM,5294000000000.0,373850098560,1228558358787.0,1811730315754.0,663120284075,3412000000000.0,267971954959,1446280968282.0,2639688715427
2021/3/0/0,DGC,1710805560000.0,488081490258,1466197580844.0,2106391057325.0,80609420665,2351399722557.0,997261233201,742827615026.0,1674941298916
