,Symbol,Volume
158,HU1,"10000000"
159,HU3,"9999944"
160,HUB,"15246000"
161,HVH,"20000000"
162,HVN,"1418290847"
163,HVX,"15500000"
164,IBC,"68880000"
165,ICT,"32185000"
166,IDI,"38000000"
167,IJC,"54838905"
168,ILB,"24502245"
169,IMP,"8400000"
170,ITA,"45000000"
171,ITC,"23028896"
172,ITD,"11610399"
173,JVC,"24200000"
174,KBC,"199124330"
175,KDC,"25000000"
176,KDH,"33200000"
177,KHP,"16322100"
178,KMR,"13287066"
179,KOS,"103750000"
180,KPF,"15600000"
181,KSB,"10700000"
182,L10,"9000000"
183,LAF,"14728019"
184,LBM,"1639160"
185,LCG,"13600000"
186,LCM,"8568000"
187,LDG,"75000000"
188,LEC,"26100000"
189,LGC,"1000000"
190,LGL,"8000000"
191,LHG,"20000000"
192,LIX,"9000000"
193,LM8,"8050000"
194,LSS,"30000000"
195,MCG,"13200000"
196,MCP,"3000000"
197,MDG,"9900000"
198,MHC,"6705640"
199,MIG,"130000000"
200,MSH,"47628000"
201,MSN,"476399820"
202,MWG,"62723171"
203,NAF,"30000000"
204,NAV,"2500000"
205,NBB,"15400000"
206,NCT,"24920934"
207,NHA,"24144965"
208,NHH,"34440000"
209,NKG,"23000000"
210,NLG,"95513523"
211,NNC,"8768175"
212,NSC,"17586988"
213,NT2,"256000000"
214,NTL,"8200000"
215,NVL,"589369234"
216,NVT,"50500000"
217,OCB,"1095906343"
218,OGC,"250000000"
219,OPC,"8190000"
220,PAC,"10263000"
221,PAN,"216358580"
222,PC1,"75262914"
223,PDN,"8231998"
224,PDR,"130200000"
225,PET,"25530000"
226,PGC,"20000000"
227,PGD,"33000000"
228,PGI,"70974218"
229,PHC,"20899956"
230,PHR,"81300000"
231,PIT,"9770479"
232,PJT,"3500000"
233,PLP,"15000000"
234,PLX,"1293878081"
235,PME,"65227500"
236,PMG,"33000000"
237,PNC,"2000000"
238,PNJ,"30000000"
239,POM,"163000000"
240,POW,"2341871600"
241,PPC,"310700000"
242,PSH,"126196780"
243,PTB,"8599760"
244,PTC,"10000000"
245,PTL,"100000000"
246,PVD,"68000000"
247,PVT,"72000000"
248,PXI,"30000000"
249,PXS,"20000000"
250,PXT,"20000000"
251,QBS,"69329928"
252,QCG,"60157495"
253,RAL,"7915000"
254,RDP,"11500000"
255,REE,"28174274"
256,RIC,"8589119"
257,ROS,"430000000"
258,S4A,"42200000"
259,SAB,"641281186"
260,SAM,"18000000"
261,SAV,"4500000"
262,SBA,"45000000"
263,SBT,"141925800"
264,SBV,"20540000"
265,SC5,"8600000"
266,SCD,"8500000"
267,SCR,"217069134"
268,SCS,"49985700"
269,SFC,"1700000"
270,SFG,"43543306"
271,SFI,"1138500"
272,SGN,"23964652"
273,SGR,"39599989"
274,SGT,"45000000"
275,SHA,"18000000"
276,SHI,"15000000"
277,SHP,"93710200"
278,SII,"40000000"
279,SJD,"20000000"
280,SJF,"66000000"
281,SJS,"5000000"
282,SKG,"17474854"
283,SMA,"8060000"
284,SMB,"29846648"
285,SMC,"6000000"
286,SPM,"14000000"
287,SRC,"10800000"
288,SRF,"8020000"
289,SSC,"14992367"
290,SSI,"79999917"
291,ST8,"8200000"
292,STG,"8351857"
293,STK,"42305336"
294,SVC,"20361040"
295,SVD,"12900000"
296,SVI,"8918990"
297,SVT,"8700000"
298,SZC,"100000000"
299,SZL,"10000000"
300,TAC,"18890200"
301,TBC,"63500000"
302,TCB,1165530720
303,TCD,"32485000"
304,TCH,"329994572"
305,TCL,"17000000"
306,TCM,"18982497"
307,TCO,"12870000"
308,TCR,"4969000"
309,TCT,"12788000"
310,TDC,"20000000"
311,TDG,"12900000"
312,TDH,"17000000"
313,TDM,"81200000"
314,TDP,"47999999"
315,TDW,"8500000"
316,TEG,"17999998"
317,TGG,"26000000"
318,THG,"8000000"
319,THI,"48800000"
320,TIP,"26003143"
321,TIX,"12000000"
322,TLD,"18000000"
323,TLG,"15500000"
324,TLH,"54000000"
325,TMP,"70000000"
326,TMS,"4290000"
327,TMT,"12577500"
328,TN1,"13300000"
329,TNA,"1300000"
330,TNC,"19250000"
331,TNH,"41500000"
332,TNI,"21000000"
333,TNT,"8500000"
334,TPC,"10400000"
335,TRA,"8000000"
336,TRC,"30000000"
337,TS4,"16160646"
338,TSC,"8312915"
339,TTA,"135000000"
340,TTB,"46826954"
341,TTE,
342,TTF,"15000000"
343,TV2,"12313159"
344,TVB,"106715461"
345,TVS,"43000000"
346,TVT,"21000000"
347,TYA,"3653480"
348,UDC,"35000000"
349,UIC,"8000000"
350,VAF,"28973457"
351,VCF,"26579135"
352,VCG,"441710673"
353,VCI,"103200000"
354,VDP,"12782904"
355,VDS,"70000000"
356,VFG,"32088864"
357,VGC,"448350000"
358,VHC,"30000000"
359,VHM,"2679611550"
360,VIC,"80000000"
361,VID,"8455700"
362,VIP,"35100000"
363,VIS,"10000000"
364,VIX,"127718975"
365,VJC,"300000000"
366,VMD,"8141196"
367,VND,"434944687"
368,VNE,"32000000"
369,VNG,"13000000"
370,VNL,"8190000"
371,VNM,"159000000"
372,VNS,"17000000"
373,VOS,"140000000"
374,VPD,"102493098"
375,VPG,"20000000"
376,VPH,"20083285"
377,VPI,"160000000"
378,VPS,"17471994"
379,VRC,"10116910"
380,VRE,"1901078733"
381,VSC,"8037334"
382,VSH,"125000000"
383,VSI,"12000000"
384,VTB,"7000000"
385,VTO,"40000000"
386,YBM,"12999938"
387,YEG,"27369968"
