,Time,FOMULA,COMPANY,PRICE,BAN,VOLUME,MARKET CAP,EARNINGS,COGS,SALES,CASH,INVESTMENTS,RECEIVABLES,INVENTORY,DEBTS
806,2020/3/0/0,0.01247810190443725,GVR,15.25,22.7,40000000000000,494000000000000.0,1191343806419.0,4913699876937.0,6164182340792,6130627169973,9421538771094,2574059423476.0,2796658762779.0,11396379762958
807,2020/3/0/0,0.01660091340808684,HAG,4.57,4.5,9274679470000,42199791588500.0,-568024476000.0,756717986000.0,700555086000,280416936000,0,6186193971000.0,2559771789000.0,11298895478000
808,2020/3/0/0,0.0431405718984505,HAH,12.65,16.0,487827510000,6683236887000.0,21562361347.0,243615955568.0,288318661438,117238278908,69238492225,299709471556.0,44173658801.0,288720159248
809,2020/3/0/0,0.03242952665586116,HAI,2.85,2.83,1826827990000,4877630733300.0,-1175326676.0,157016029443.0,158179255883,5381540042,201580000000,2222470007788.0,358906525766.0,1013498202558
810,2020/3/0/0,0.02520468669964481,HAP,-1.0,-1.0,556266210000,3326471935800.0,4676424370.0,74180734226.0,83842682957,9162666959,38700106000,280989482891.0,81968366854.0,117309275107
811,2020/3/0/0,0.002794068822817967,HAR,4.2,4.97,1013501000000,3922248870000.0,36108574.0,4173810842.0,10959033283,38210723997,0,161441172317.0,,12756008350
812,2020/3/0/0,0.08004263302058824,HAS,7.35,8.5,80000000000,680000000000.0,687521634.0,50451875460.0,54428990454,10035380398,10622069899,164038599113.0,4061630187.0,76031009976
813,2020/3/0/0,0.3484594762700312,HAX,15.4,18.45,367443990000,4997238264000.0,51172768090.0,1631536966672.0,1741335028270,177322710614,0,227890428261.0,599816592836.0,863533522549
814,2020/3/0/0,0.1046811305205742,HBC,10.5,15.75,2308753980000,25165418382000.0,53383052551.0,2485077119198.0,2634344446251,325699019291,15453610968,10265175485753.0,2594425315617.0,10442739212712
815,2020/3/0/0,0.1010720402542264,HCD,2.43,2.42,270000000000,774900000000.0,-5126036174.0,78637647449.0,78320723993,5787969332,0,158107420107.0,142015153804.0,76053229739
816,2020/3/0/0,0.01273896492450736,HDC,23.85,34.6,665158370000,15232126673000.0,30704857714.0,141212116740.0,194041527413,40924960161,9543992884,306403727570.0,965561236349.0,981492603171
817,2020/3/0/0,0.02150939490554034,HDG,24.5,35.25,1542750180000,39031579554000.0,187433230555.0,484246940290.0,839545658414,309727280326,141728973946,1790553114553.0,1825807554088.0,3910064555701
818,2020/3/0/0,0.01030046282600094,HHS,4.74,5.25,2747440630000,13599831118500.0,59579942172.0,130291602833.0,140084554876,146501835252,240505000000,107875755303.0,187853155772.0,144422163425
819,2020/3/0/0,0.2219003570686741,HII,14.1,20.1,278500000000,4762350000000.0,19959028942.0,982795855247.0,1056767165486,43731838438,64684328767,575980458067.0,244236318933.0,848805345671
820,2020/3/0/0,0.2838469122307447,HMC,14.3,16.3,210000000000,3129000000000.0,19538307654.0,846714154048.0,888156988370,9393240325,18800000000,254603605497.0,400649413481.0,416817351841
821,2020/3/0/0,0.004570764701213041,HNG,10.85,10.45,11085538950000,131363636557500.0,-352903409000.0,667228864000.0,600432273000,53934778000,0,1361958236000.0,2405518231000.0,7106279868000
822,2020/3/0/0,0.001095785054166667,HOT,28.75,26.9,80000000000,3840000000000.0,-7143312070.0,8006824952.0,4207814608,19091800965,9000000000,5963505081.0,1929718859.0,13861646833
823,2020/3/0/0,0.02759438852469193,HPG,30.4,38.35,33132826590000,894586317930000.0,3785122748321.0,19516497107892.0,24685562425834,5628548667015,8790110507972,5830460844355.0,20979333665419.0,35959335130297
824,2020/3/0/0,0.004607763064415275,HPX,28.6,37.95,2299955060000,60948809090000.0,50867935962.0,184928280186.0,280837671345,253323779056,217500263329,1752238785690.0,1849473559779.0,1949953982621
825,2020/3/0/0,0.01561399239256005,HQC,1.63,2.1,4766000000000,8102200000000.0,1126824014.0,100308938225.0,126507689163,31645819502,0,3798497427594.0,536380536497.0,2343792292132
826,2020/3/0/0,0.003947008084626055,HRC,46.85,59.0,302066220000,11176450140000.0,1130979904.0,40972325955.0,44113539060,23363459168,220000000000,13393806010.0,14263861440.0,321333096026
827,2020/3/0/0,0.09728024738758738,HSG,16.85,22.0,4446252130000,70250783654000.0,318107862145.0,5771150231346.0,6834013613033,390477101350,750000000,1497170937083.0,4597878205003.0,7931122739841
828,2020/3/0/0,0.06144129561408405,HSL,4.9,4.8,157499560000,817422716400.0001,342809170.0,49485695618.0,50223510760,2975960161,0,84538175065.0,54003487215.0,16541030737
829,2020/3/0/0,0.03229304099719048,HT1,15.4,16.0,3815899110000,61435975671000.01,148576253989.0,1650167152517.0,1983954481046,383047868024,13803998673,497969604614.0,747265074163.0,3425083897178
830,2020/3/0/0,0.03141040716177897,HTI,12.2,14.9,249492000000,3043802400000.0,14914388922.0,43490015461.0,95607072704,66992408412,0,9214564859.0,634983650.0,66309559176
831,2020/3/0/0,0.08306246139541387,HTL,15.2,17.0,120000000000,1788000000000.0,11572779030.0,135265721983.0,148515680975,26563392751,439793905,33021803105.0,176506911266.0,111596724928
832,2020/3/0/0,0.2119771627800662,HTN,33.6,33.5,330622210000,8480459686500.0,200603082812.0,1361259099570.0,1797663783415,171702247123,0,3114093877951.0,1308090858096.0,3781249340593
833,2020/3/0/0,0.04435606907230662,HTV,12.65,13.3,131040000000,1644552000000.0,7624708235.0,60807158086.0,72945862105,14027904730,155750995414,150021798543.0,1254675075.0,84526572999
834,2020/3/0/0,0.1048988451275168,HU1,7.81,8.23,100000000000,596000000000.0,103820345.0,59203153722.0,62519711696,40796345351,5330000000,420064020609.0,504367097512.0,853709642251
835,2020/3/0/0,0.05465983536931276,HU3,7.1,7.51,99999440000,783995609600.0,-334538375.0,38436859877.0,42853070951,8550543760,0,103832918654.0,135279894285.0,139609128099
836,2020/3/0/0,0.03348578213012304,HUB,26.35,26.45,152460000000,3384612000000.0,16363499733.0,86007252632.0,113336380027,40203589425,130260000000,105189370846.0,169111737616.0,245467332157
837,2020/3/0/0,0.04603471506918758,HVH,7.95,8.58,219499950000,1788924592500.0,2288970109.0,69857087203.0,82352633896,32282757169,14800000000,124061372518.0,53344038346.0,100985271183
838,2020/3/0/0,0.01963411726874064,HVN,24.9,25.1,14182908470000,387193401231000.0,-3997177768707.0,10803033184773.0,7602200645452,2618470823057,656337848726,3635680193224.0,1969913699825.0,31454104615646
839,2020/3/0/0,0.1213512375888766,HVX,3.3,3.73,415252500000,1328808000000.0,798749548.0,150516577641.0,161252495318,3760903733,0,28054711997.0,103332330581.0,333299193936
840,2020/3/0/0,0.03380526970686004,IBC,22.35,20.6,815897350000,17786562230000.0,60812599735.0,352347332731.0,601279533343,274000935447,0,538224167688.0,17567264000.0,1757918600067
841,2020/3/0/0,0.05334983571774241,ICT,18.8,22.6,321850000000,6710572500000.0,21823250104.0,314273899879.0,358007940447,136420099096,14000000000,1024848523411.0,278265058462.0,948744153093
842,2020/3/0/0,0.1272190918039407,IDI,5.18,5.53,2276446080000,11905812998400.0,32229049730.0,1400813490037.0,1514646716844,308034506796,319142853560,2632425658421.0,1609151619264.0,3860183503688
843,2020/3/0/0,0.01729195638645601,IJC,12.55,21.45,1370973230000,17274262698000.0,64301096448.0,162026158231.0,298705797182,92894770972,8305000000,820330613948.0,3629858804204.0,3408124692899
844,2020/3/0/0,0.02762945831842323,ILB,18.1,20.75,245022450000,4165381650000.0,17596070196.0,76490128651.0,115087238679,149945219653,0,146858630801.0,,264390436840
845,2020/3/0/0,0.009396215762495039,IMP,50.5,54.2,642360700000,30865431635000.0,50892901388.0,175883784300.0,290018255245,73019946995,48699159260,392157179702.0,436689146946.0,418510655363
846,2020/3/0/0,0.00661646993644005,ITA,4.76,5.98,9384636070000,42606247757800.0,112620521365.0,143452271602.0,281902957394,77885806678,0,1922535012859.0,4086700130237.0,1849570260628
847,2020/3/0/0,0.01227576444737144,ITC,14.4,16.7,725188030000,10877820450000.0,30969564761.0,89898393875.0,133533561545,18827699239,0,428054357753.0,2276858433763.0,2012071841074
848,2020/3/0/0,0.07381074963936639,ITD,9.92,10.5,190647980000,1849285406000.0,5174683697.0,109501470007.0,136497142114,37785133265,75902917970,200395044656.0,139441784356.0,238660089579
849,2020/3/0/0,0.02152989133780275,JVC,4.07,4.39,1125001710000,5613758532900.0,-54102804393.0,132501750118.0,120863611210,52351126408,71500000000,127204030985.0,78281507768.0,152077655573
850,2020/3/0/0,0.003011219678219346,KBC,14.15,34.3,4697601890000,67175707027000.0,-8664732875.0,87096857398.0,202280810898,1263683794350,1908835335260,5442425496403.0,7887244421422.0,6329425174886
851,2020/3/0/0,0.02457620650600219,KDC,35.8,38.5,2566533970000,94191796699000.0,120629701328.0,1790008774981.0,2314877046846,949216334753,742399705801,2317789490303.0,832381306556.0,2890121379997
852,2020/3/0/0,0.01245621350933697,KDH,24.6,29.9,5786572190000,140903032826500.0,362119013000.0,1211037414000.0,1755118261000,2783923442000,0,3581340431000.0,7081053652000.0,5205187455000
853,2020/3/0/0,0.3599808502050712,KHP,5.74,6.99,575710160000,3563645890400.0,-40387469397.0,1274731970331.0,1282844277456,89427355436,209183500000,103544355590.0,112957175598.0,796070784808
854,2020/3/0/0,0.09780685853853267,KMR,2.4,2.5,568814430000,1268456178900.0,3611831954.0,106729141093.0,124063714052,51418632189,0,179486509351.0,514356205240.0,504012858007
855,2020/3/0/0,0.007552238476709386,KOS,31.65,24.25,1037500000000,32577500000000.0,1805958695.0,228131586301.0,246033048975,29713138930,7080000000,1094446391751.0,803298612207.0,454874700072
856,2020/3/0/0,0.0005904295303036728,KPF,13.7,11.2,180178960000,2540523336000.0,-1629451318.0,1500000000.0,1500000000,25531156001,0,179642586560.0,493485008787.0,985284392175
857,2020/3/0/0,0.1534598426883959,L10,12.65,16.0,98900000000,1681300000000.0,3823139487.0,248737460429.0,258012033512,227123452013,0,381921653830.0,193087778643.0,501569659278
858,2020/3/0/0,0.07328726220002839,LAF,9.62,11.9,147280190000,1472801900000.0,4332906489.0,97401368306.0,107937619014,2347071194,13009101472,16750852999.0,124388024086.0,89066183522
859,2020/3/0/0,0.04141392014277286,LBM,33.6,50.0,100000000000,3390000000000.0,14442570260.0,109338519603.0,140393189284,74563241304,0,69133372615.0,52408829994.0,51077733957
860,2020/3/0/0,0.1029960840624066,LCG,10.55,12.0,1049017000000,9860759800000.0,102364571289.0,844049924646.0,1015619645280,347823793622,4430000000,2720985798127.0,934862333348.0,3485933476173
861,2020/3/0/0,0.02184658907041077,LCM,0.7,1.12,246330000000,172431000000.0,941796227.0,3427353956.0,3767029200,3457446183,0,21641320366.0,20605029015.0,14762486414
862,2020/3/0/0,0.04291929555115031,LDG,6.25,6.71,2402124510000,17055084021000.0,10188779725.0,558939880252.0,731992191747,2191143120,0,2418473836318.0,1194342414742.0,2065853812242
863,2020/3/0/0,0.04454550204721963,LEC,15.6,12.0,261000000000,3862800000000.0,1781656435.0,163168244005.0,172070365308,3185535618,0,634858762616.0,143240270273.0,633298587038
864,2020/3/0/0,0.04091157418809948,LGC,64.7,66.0,210000000000,11781000000000.0,16881992764.0,427219800960.0,481979255510,198953556566,239000000000,367193614122.0,278790567495.0,1068550912408
865,2020/3/0/0,0.02170403670963531,LGL,4.44,5.03,515000000000,2451400000000.0,-10391697659.0,51932141659.0,53205275590,6595105031,5320287200,627337581793.0,375711812581.0,955876112187
866,2020/3/0/0,0.005262592919944266,LHG,24.75,29.8,500120100000,13753302750000.0,23420885292.0,36505772629.0,72378033678,137754836997,448937664221,313424975630.0,633380462917.0,655346993001
867,2020/3/0/0,0.03462759355828483,LIX,56.7,50.4,324000000000,18759600000000.0,47871501154.0,514290120981.0,649599804116,160666572380,0,143359462040.0,248688155444.0,386145608002
868,2020/3/0/0,0.3418228864044935,LM8,10.45,11.85,93886820000,1079698430000.0,4457329344.0,349666677076.0,369065633789,12479423944,149896369552,366433941106.0,795260374487.0,1238107626172
869,2020/3/0/0,0.03244967669941823,LSS,6.61,9.3,700000000000,4641000000000.0,1564933036.0,124424007311.0,150598949562,54584643321,100000000,284179245349.0,267204112637.0,592049196401
870,2020/3/0/0,0.04058632213624683,MCG,1.67,2.75,575100000000,1035180000000.0,1208492840.0,39192498676.0,42014148949,14625937700,11594703155,357554152969.0,294720614633.0,610797568661
871,2020/3/0/0,0.01720408300721945,MCP,28.45,27.45,150713370000,5018755221000.0,4114629404.0,73978922318.0,86343081415,18953957062,105000000000,89407301361.0,114735051208.0,176683487203
872,2020/3/0/0,0.04625869381682439,MDG,10.6,10.5,108890310000,1197793410000.0,1967487413.0,49493671652.0,55408358609,10242126568,0,222084160887.0,30205320224.0,211123616298
873,2020/3/0/0,0.00161092570241966,MHC,5.67,6.98,414069640000,2790829373600.0,63494234587.0,4436699999.0,4495818769,39522383788,433242603932,459398601299.0,,242009680505
874,2020/3/0/0,0.06443363157874132,MSH,34.2,39.0,500094000000,16578116100000.0,42547484087.0,838946016672.0,1068188225057,204294027277,565174740671,608314132964.0,545087371671.0,1253662172227
875,2020/3/0/0,0.03134481973623524,MSN,89.9,82.0,11746832000000,644901076800000.0,972565000000.0,15396469000000.0,20214308000000,5608241000000,294900000000,6335709000000.0,11426294000000.0,37457587000000
876,2020/3/0/0,0.05403477337458123,MWG,105.0,123.7,4532099870000,475870486350000.0,951032437374.0,19963833875800.0,25713553885574,2590965281039,10598354547946,1466027079598.0,17514792364187.0,24381740158320
877,2020/3/0/0,0.02785700140756929,NAF,21.8,21.3,475678520000,9989248920000.0,13528470745.0,225357326876.0,278270521225,24565648167,33200000000,718686725345.0,181582321401.0,592264365037
878,2020/3/0/0,0.009493167372826086,NAV,24.0,23.55,80000000000,1840000000000.0,10468675875.0,14773414641.0,17467427966,5519655867,98000000000,16714124429.0,14381831884.0,69340323748
879,2020/3/0/0,0.06679260881247309,NBB,23.8,22.3,1004756560000,19592752920000.0,76852789359.0,1102951504468.0,1308651081345,262324018391,0,1180219240930.0,3333063251132.0,2689987127089
880,2020/3/0/0,0.009854993860641524,NCT,67.9,68.0,261669400000,17688851440000.0,54881817213.0,89650001761.0,174323522343,77221454413,191643000000,60257354058.0,3624064516.0,84448774819
881,2020/3/0/0,0.01542254265164907,NHH,52.0,63.8,344400000000,18735360000000.0,14878256044.0,236862726404.0,288946888694,30427976803,0,164123076442.0,171562190583.0,387577479035
882,2020/3/0/0,0.2215931756219256,NKG,8.33,14.45,1819998680000,15233388951600.0,82621671847.0,3133214365983.0,3375615033269,435389113373,385678807952,1456880253936.0,2458654007045.0,4558954505598
883,2020/3/0/0,0.009389935650517942,NLG,27.2,32.0,2597025750000,68171925937500.0,32318748488.0,515126072523.0,640129997725,981231263343,36372379000,1734143255971.0,5398328800721.0,3382634034939
884,2020/3/0/0,0.008862395571987229,NNC,47.1,36.9,219200000000,10422960000000.0,27781807103.0,54236514331.0,92372394551,89266484205,129989,148499779968.0,74491343109.0,114187288154
885,2020/3/0/0,0.01718340807607364,NT2,22.65,23.2,2878760290000,67075114757000.0,-5939520440.0,1084681303771.0,1152579068619,220037926270,152490790416,1537541720451.0,320963101054.0,2739969750389
886,2020/3/0/0,0.01569222931673133,NTL,17.7,22.65,609899500000,11069675925000.0,83572119501.0,55748052360.0,173707893077,255344439334,0,268647589097.0,1191383080105.0,706964010307
887,2020/3/0/0,0.003407980987705947,NVL,62.1,80.1,9855641520000,627804364824000.0,2120532441330.0,1342965170790.0,2139545339319,9697718598051,509200840534,12158856883275.0,79380083398071.0,25268019195144
888,2020/3/0/0,0.01200056249746777,NVT,4.79,5.39,905000000000,4344000000000.0,3894609382.0,29704772424.0,52130443489,12266413194,24015000000,147615663703.0,10928673108.0,90697479160
889,2020/3/0/0,0.01258491075124056,OGC,8.06,5.93,3000000000000,18540000000000.0,28519215317.0,113139353671.0,233324245328,336556912895,230678445300,1040807865156.0,362530660630.0,1637913098348
890,2020/3/0/0,0.01461076774058006,OPC,56.5,67.0,265772800000,14617504000000.0,21685112933.0,134961671205.0,213572955891,57780936904,30068954572,146535226143.0,554615736489.0,444468124920
891,2020/3/0/0,0.06246343677827949,PAC,26.1,28.4,464717070000,11803813578000.0,46663834537.0,612024530629.0,737306763172,72100260055,573414528953,320073904294.0,578260072174.0,1445732146918
