,Unnamed: 0,Time,Reported_Earnings,COGS,Sales,Cash,Investments,Receivable,Inventory,Debts,Co phieu Pho Thong
39,39,2011/2/0/0,9173831561.0,161969085217.0,203723873756.0,19514488129.0,,149489329538.0,101703223507.0,327506473728.0,
40,40,2011/1/0/0,16770091695.0,149339363098.0,194825638032.0,7851110788.0,,185288467709.0,64192766415.0,248664922533.0,
41,41,2010/4/0/0,19923575544.0,153424355091.0,200490098622.0,20198710391.0,,161992940149.0,80938583080.0,212877986662.0,
42,42,2010/3/0/0,41887030448.0,131951744828.0,201439015809.0,59834809550.0,,192596439478.0,72135304403.0,186351937567.0,
43,43,2010/2/0/0,17167869003.0,119370717163.0,158737393013.0,40864651488.0,,147366760356.0,91483844582.0,154263688010.0,
44,44,2010/1/0/0,11885602909.0,90790066566.0,122008751968.0,22041343583.0,,134730449952.0,70042406193.0,212687087815.0,
45,45,2009/4/0/0,,,,,,,,,
46,46,2009/3/0/0,,,,,,,,,
47,47,2009/2/0/0,,,,,,,,,
48,48,2009/1/0/0,,,,,,,,,
49,49,2008/4/0/0,,,,,,,,,
50,50,2008/3/0/0,,,,,,,,,
51,51,2008/2/0/0,,,,,,,,,
52,52,2008/1/0/0,,,,,,,,,
0,0,2021/1/0/0,-1103062544.0,29298515304.0,29978120725.0,18431928733.0,10634959920.0,11867539153.0,121498598121.0,10604256192.0,123464110000.0
1,1,2020/4/0/0,-7610436562.0,36572380193.0,31677033113.0,26258747855.0,5634959920.0,17196382641.0,119394550727.0,15503668591.0,123464110000.0
2,2,2020/3/0/0,-4426907567.0,25457643826.0,24256496581.0,10028851603.0,28597459920.0,10047153085.0,129740343991.0,18251143570.0,123464110000.0
3,3,2020/2/0/0,-595020743.0,22572548501.0,23776038207.0,13267773103.0,36597459920.0,7934862189.0,116959047295.0,11717845368.0,123464110000.0
4,4,2020/1/0/0,665805415.0,36136952828.0,41176954729.0,13239992486.0,32534619541.0,17335429299.0,110620438461.0,11260600881.0,123464110000.0
5,5,2019/4/0/0,820421028.0,63512042024.0,66533395249.0,13793393220.0,37534619541.0,19122527353.0,111849031059.0,15017457297.0,123464110000.0
6,6,2019/3/0/0,616230169.0,51808522546.0,55072883565.0,3670320005.0,56064233780.0,28814075760.0,102646611493.0,24241981220.0,123464110000.0
7,7,2019/2/0/0,3722832053.0,43927001123.0,49816429944.0,19882037361.0,71152919920.0,24886150337.0,80290743194.0,23135370116.0,123464110000.0
8,8,2019/1/0/0,3149356906.0,35734871981.0,44699227591.0,18562028484.0,66021720614.0,25439031431.0,75204755464.0,19661545142.0,99357010000.0
9,9,2018/4/0/0,468799556.0,54025968373.0,56958897683.0,11098787731.0,72259517920.0,31109921341.0,65189400109.0,15241596825.0,99357010000.0
10,10,2018/3/0/0,2459887708.0,46298367591.0,51050170042.0,14697560201.0,111447459920.0,49771767618.0,38756023009.0,15699812770.0,99357010000.0
11,11,2018/2/0/0,3710441174.0,47849899354.0,51962382477.0,39411145138.0,82447459920.0,51431290512.0,26378710029.0,13885302815.0,99357010000.0
12,12,2018/1/0/0,2729838189.0,46965143784.0,58292439846.0,37096421529.0,87447459920.0,51990348261.0,17717813745.0,11697219444.0,126358400000.0
13,13,2017/4/0/0,3948245312.0,42784121350.0,47182604349.0,13656304758.0,76447726000.0,54626018322.0,47300323400.0,7477632916.0,126358400000.0
14,14,2017/3/0/0,-4227473467.0,50845157969.0,49418056767.0,42207826074.0,41077880220.0,52182048590.0,56074376874.0,10172111838.0,126358400000.0
15,15,2017/2/0/0,830256738.0,66987779816.0,76398743748.0,32100291479.0,41077880220.0,59291364441.0,63643214740.0,9901356446.0,126358400000.0
16,16,2017/1/0/0,486737577.0,47615776813.0,51189781980.0,30149872236.0,25207633393.0,64761180935.0,81931169047.0,8905550199.0,126358400000.0
17,17,2016/4/0/0,364729590.0,72014424602.0,75544360318.0,13386493510.0,32090133393.0,68008187406.0,96580328481.0,10730385650.0,126358400000.0
18,18,2016/3/0/0,795883732.0,59726507495.0,65103939828.0,13645214188.0,43878837525.0,68264233697.0,89360430325.0,15914356046.0,126358400000.0
19,19,2016/2/0/0,689171409.0,57450602308.0,64279223956.0,3191315864.0,53878837525.0,66854886461.0,86502600446.0,14182130668.0,126358400000.0
20,20,2016/1/0/0,505260417.0,64535302472.0,69850681772.0,18929266071.0,57711410174.0,69979645716.0,86575075802.0,40017869794.0,126358400000.0
21,21,2015/4/0/0,863241400.0,76764263932.0,82380649725.0,27955052472.0,74711410174.0,62901421341.0,101526511578.0,69156984998.0,126358400000.0
22,22,2015/3/0/0,789323814.0,94775109724.0,103752910533.0,26788336438.0,69694998170.0,72275175866.0,81416784083.0,55521570706.0,126358400000.0
23,23,2015/2/0/0,299180916.0,86056525020.0,92926694169.0,30588339785.0,37694998170.0,62668551113.0,109803932155.0,46417014420.0,126358400000.0
24,24,2015/1/0/0,656882763.0,62267217911.0,70570754314.0,65533603074.0,20577821062.0,71727649200.0,95327393329.0,52889517975.0,
25,25,2014/4/0/0,256445031.0,85380544898.0,95999561022.0,55865516720.0,18077821062.0,47498024151.0,99315976914.0,36744827181.0,
26,26,2014/3/0/0,254075074.0,96486771000.0,101566710663.0,68889474408.0,8178234036.0,48960751011.0,56130591984.0,23424571322.0,
27,27,2014/2/0/0,6378460840.0,114910428738.0,127130525445.0,60627147107.0,8178234036.0,60228599689.0,81049330201.0,35404561489.0,
28,28,2014/1/0/0,1909914899.0,99133951766.0,114319943438.0,65174779551.0,7113876800.0,52937354251.0,66277890450.0,30772576331.0,
29,29,2013/4/0/0,4038359394.0,137591182619.0,153513956214.0,59686997644.0,2113876800.0,64897090849.0,93331610053.0,40054855552.0,
30,30,2013/3/0/0,1938950533.0,133827143410.0,148789716615.0,33777138887.0,1195861200.0,70026219548.0,114848054055.0,32059303363.0,
31,31,2013/2/0/0,1714319951.0,102476680664.0,120197567675.0,7740828082.0,1195861200.0,66731332821.0,146895082877.0,31079259808.0,
