<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
REE,20211101,73.8,74.7,70.2,72,1664800
RIC,20211101,19.7,19.7,19.2,19.5,7300
ROS,20211101,5.66,5.85,5.66,5.79,18023400
S4A,20211101,29.8,29.8,29.7,29.7,900
SAB,20211101,160.7,163,160.7,162,135000
SAM,20211101,21,22.35,21,22.35,4452000
SAV,20211101,33.7,34.85,32.95,34,219600
SBA,20211101,20.5,20.7,20,20.45,29100
SBT,20211101,22,22.7,21.8,22.4,10452400
SBV,20211101,16,16.1,15.7,15.7,140900
SC5,20211101,24.7,26.6,24.7,24.7,22500
SCD,20211101,19,19.1,18.6,18.6,4400
SCR,20211101,15,15.15,14.6,14.7,12475600
SCS,20211101,134,134.5,133.7,134.5,44000
SFC,20211101,31.2,31.2,31,31,19500
SFG,20211101,15.7,16.6,15.7,16.4,47900
SFI,20211101,68,68,63.1,65,25900
SGN,20211101,69.7,70,69,69,28100
SGR,20211101,34.95,34.95,34.95,34.95,122900
SGT,20211101,35,36,34.2,34.2,514200
SHA,20211101,8.12,8.7,8.1,8.46,518900
SHB,20211101,28.2,28.5,27.95,28.5,18044900
SHI,20211101,17.8,18.3,17.8,18.25,838900
SHP,20211101,26.2,26.95,26.2,26.5,2900
SII,20211101,17.3,18.45,16.1,16.8,2600
SJD,20211101,22.35,22.4,22,22,491100
SJF,20211101,9.84,9.84,9.57,9.84,3984100
SJS,20211101,61.4,65,61.4,64.5,226500
SKG,20211101,19.8,19.8,19.2,19.35,416200
SMA,20211101,11.1,11.3,10.5,10.5,1800
SMB,20211101,40.8,40.8,40.5,40.7,24500
SMC,20211101,53.7,53.8,52.2,52.3,951500
SPM,20211101,20.6,20.6,20,20.3,10300
SRC,20211101,20.95,21.5,20.9,21.2,41500
SRF,20211101,13.2,13.6,13.1,13.6,46300
SSB,20211101,36.9,37.25,36.2,37.2,2037300
SSC,20211101,41.5,41.5,41.5,41.5,1400
SSI,20211101,40.6,41.8,40.5,41.4,23755600
ST8,20211101,11.3,11.4,11.3,11.4,2600
STB,20211101,26.6,27.05,26.2,26.6,14694700
STG,20211101,26.9,26.9,26.2,26.6,38900
STK,20211101,63.5,63.5,60,62.4,23900
SVD,20211101,10.6,11.2,10.5,11,716300
SVT,20211101,15.35,16.4,15.3,16.1,269200
SZC,20211101,62.2,62.5,60.2,60.6,1069800
