Unnamed: 0,Time,Reported_Earnings,COGS,Sales,Cash,Investments,Receivable,Inventory,Debts,Co phieu Pho Thong,Volume,Mua
23,2015/2/0/0,13674379314.0,38712639576.0,50545168024.0,179495418433.0,217300000000.0,40112601072.0,82224078707.0,105341889360.0,200000000000.0,200000000000.0,18.5
24,2015/1/0/0,10663421610.0,29902688962.0,41133069878.0,200713840781.0,162000000000.0,60605596796.0,81693523767.0,69524624228.0,,,18.6
25,2014/4/0/0,14090921139.0,39969935782.0,53940445092.0,203577286813.0,152000000000.0,49879954370.0,81606701837.0,79998345818.0,0.0,200000000000.0,18.0
26,2014/3/0/0,6974208791.0,33975407152.0,43400184676.0,61193003907.0,267000000000.0,69951887495.0,81315145409.0,65525394673.0,0.0,200000000000.0,18.0
27,2014/2/0/0,12707341627.0,31273812884.0,38474552806.0,97185752775.0,278500000000.0,42659622478.0,80975547211.0,82765431986.0,0.0,200000000000.0,17.6
28,2014/1/0/0,9630782948.0,32712396424.0,43484955231.0,133348582417.0,153500000000.0,40687146230.0,80982602211.0,78976005285.0,0.0,200000000000.0,19.9
29,2013/4/0/0,2151771166.0,31204054042.0,37091654414.0,98248844751.0,171500000000.0,38669422159.0,85159102651.0,78153694778.0,0.0,200000000000.0,20.5
30,2013/3/0/0,17284517579.0,31928647168.0,43314119400.0,140848321663.0,209500000000.0,52804029742.0,84976717541.0,42860141222.0,0.0,200000000000.0,16.4
31,2013/2/0/0,9944867886.0,29281267102.0,40134906311.0,121757599144.0,224500000000.0,49332763396.0,88815670548.0,62771939456.0,0.0,200000000000.0,12.4
32,2013/1/0/0,9252902668.0,26052697872.0,32702601854.0,139521719068.0,262500000000.0,56960701833.0,90793737545.0,68301937976.0,0.0,200000000000.0,13.0
33,2012/4/0/0,21769064074.0,15239889299.0,34437480426.0,176914855173.0,203000000000.0,48344278072.0,90958774226.0,122234768342.0,0.0,200000000000.0,13.0
34,2012/3/0/0,7216950514.0,28974777962.0,34692119402.0,143362391686.0,193000000000.0,68382415084.0,92966475007.0,138681689138.0,0.0,200000000000.0,11.3
35,2012/2/0/0,8785271035.0,28060282619.0,31154716898.0,111002164155.0,228000000000.0,70871160112.0,104984906169.0,160180068155.0,0.0,200000000000.0,12.9
36,2012/1/0/0,7911769722.0,24611899251.0,28762463090.0,76282472936.0,260000000000.0,67845412539.0,93746928332.0,152716089085.0,0.0,200000000000.0,15.0
37,2011/4/0/0,24965167931.0,33373888303.0,57759133682.0,63576473212.0,250000000000.0,70609398969.0,69918157169.0,123818791180.0,0.0,200000000000.0,12.5
