Unnamed: 0,Time,Reported_Earnings,COGS,Sales,Cash,Investments,Receivable,Inventory,Debts,Co phieu Pho Thong,Volume,Mua
33,2012/4/0/0,5263243914.0,906775221975.0,931799070823.0,23354614977.0,4370000000.0,341202630107.0,344693215552.0,622636525899.0,0,210000000000.0,8.5
34,2012/3/0/0,5254550993.0,892857776780.0,924069728118.0,14988576481.0,4485000000.0,376101899045.0,352542558041.0,658144720104.0,0,210000000000.0,7.6
35,2012/2/0/0,7833775122.0,1093782460946.0,1137075800282.0,17985684094.0,6555000000.0,409870000951.0,450497137287.0,802962776125.0,0,210000000000.0,9.1
36,2012/1/0/0,7897363406.0,1277450710483.0,1317867592717.0,15470643050.0,6785000000.0,519310012270.0,418903469004.0,885831024387.0,0,210000000000.0,11.5
37,2011/4/0/0,9908764374.0,1300076637836.0,1336726860768.0,28163309549.0,5865000000.0,406266694559.0,431626234392.0,789693008494.0,0,210000000000.0,9.6
38,2011/3/0/0,13259168852.0,1521526830916.0,1560908677718.0,23559600949.0,5175000000.0,531166442736.0,250621087085.0,737675402158.0,0,210000000000.0,10.0
39,2011/2/0/0,59738388972.0,3333436387836.0,3430829671176.0,7322047898.0,5175000000.0,572730578713.0,198581010938.0,692948378286.0,0,210000000000.0,10.9
40,2011/1/0/0,55758302540.0,2074182954882.0,2125280588468.0,66078764597.0,,577765289341.0,277077949151.0,845793673664.0,0,210000000000.0,12.6
41,2010/4/0/0,10352079130.0,1203021097054.0,1241527605048.0,54149414669.0,,293925421391.0,409329203575.0,736783917057.0,0,210000000000.0,15.0
42,2010/3/0/0,8954576619.0,965050284083.0,998283795350.0,130571966175.0,,331952270934.0,322154027971.0,745216820578.0,0,210000000000.0,15.8
43,2010/2/0/0,11565421812.0,1188733606377.0,1221662925488.0,89778551576.0,15000000000.0,248386010184.0,299765334252.0,613072314042.0,0,210000000000.0,20.6
44,2010/1/0/0,4418969069.0,876270614020.0,902416889535.0,15232210458.0,41900000000.0,338355553506.0,388162980238.0,748579563596.0,0,210000000000.0,26.9
45,2009/4/0/0,9002831842.0,775148143034.0,796066335330.0,18539265976.0,,213706621982.0,398602866351.0,570550541901.0,0,210000000000.0,18.2
46,2009/3/0/0,10037388411.0,840366333350.0,859963436852.0,1962878796.0,10000000000.0,245385095152.0,398357002972.0,614131442381.0,0,210000000000.0,18.8
47,2009/2/0/0,5535558063.0,659811814187.0,676529834503.0,10082523350.0,,142242669620.0,379617454656.0,494922427722.0,0,210000000000.0,16.4
48,2009/1/0/0,2809103976.0,457221611308.0,475878142887.0,12363824661.0,,114285028970.0,471486059557.0,557349697483.0,0,210000000000.0,11.3
49,2008/4/0/0,-21658723135.0,348928585490.0,333769479835.0,12356680825.0,,108371411826.0,466586250256.0,532787488413.0,0,210000000000.0,10.4
50,2008/3/0/0,18859444903.0,986830951772.0,1026636618165.0,37541604411.0,,153066334144.0,558866125460.0,654582129473.0,0,210000000000.0,15.8
51,2008/2/0/0,29913841736.0,1746547322322.0,1808595041897.0,49942442367.0,,257145322691.0,437772116440.0,655887358761.0,0,210000000000.0,19.7
52,2008/1/0/0,15920232449.0,1082076288712.0,1115501749550.0,98165936131.0,,253545334892.0,353058842819.0,707363501540.0,0,158000000000.0,22.9
