Unnamed: 0,Time,Reported_Earnings,COGS,Sales,Cash,Investments,Receivable,Inventory,Debts,Co phieu Pho Thong,Volume
30,2013/3/0/0,4423424810,32963410850,44386096882,4091543826,73164836000,40250633685,59584153790,40662909545,0.0,119820500000.0
31,2013/2/0/0,-478574110,29544571322,39939779871,9765720001,73131336000,31556364220,57085146500,37188806788,0.0,119820500000.0
32,2013/1/0/0,6060190818,39814061592,56442904325,16966116849,68946136000,38167815679,36448623915,32262458669,0.0,119820500000.0
33,2012/4/0/0,4697405507,47245861493,65738181413,20686399571,70518202000,42044602158,49573171544,51953244620,0.0,119820500000.0
34,2012/3/0/0,1964646101,37874612244,53980934988,37922041388,71623636000,30601399762,51690705311,57885707020,0.0,119820500000.0
35,2012/2/0/0,1186033644,34065161680,44129568761,24907249910,78329536000,30838826427,47696893999,54364957411,0.0,119820500000.0
36,2012/1/0/0,4478121885,35525574479,50166737783,92648041693,16287112146,33672570908,39875451633,51974943949,0.0,119820500000.0
37,2011/4/0/0,4135809697,51669521796,63057855739,30433647761,61426883148,48702688544,51600622035,58814679534,0.0,119820500000.0
38,2011/3/0/0,3659712810,40174505031,47384026600,42802214831,46430712976,30115321333,50651434609,41599682131,0.0,119820500000.0
39,2011/2/0/0,4907088443,30775308747,40427044134,36947446164,43024394659,26066983845,67778998659,50311337300,0.0,119820500000.0
40,2011/1/0/0,3575251339,47804370348,56979703302,38594107250,42331782837,38510084428,64906443690,57173979186,0.0,119820500000.0
41,2010/4/0/0,5635057338,54936264192,68144361303,7422752176,64134317910,48677651354,82396009420,57443137371,0.0,119820500000.0
42,2010/3/0/0,5001415661,44957056629,54986725255,9707368431,59605869854,40110144976,94013705836,68797721665,0.0,119820500000.0
43,2010/2/0/0,9699959104,51410009097,61957927294,12668556620,46141544412,48953035834,81894690280,73862792119,0.0,119820500000.0
44,2010/1/0/0,4339330655,57271407221,68233720500,16227836195,37019931258,52247758827,61211479398,68652419268,0.0,119820500000.0
45,2009/4/0/0,8275742832,91927206057,102159932236,50303391258,12104775008,67205791403,60390019159,103969963311,0.0,119820500000.0
46,2009/3/0/0,6865001720,78173650793,90719525828,54612056370,11476610144,59851319556,58342278598,108626195214,0.0,119820500000.0
47,2009/2/0/0,9165396153,53484823593,66224042621,47823618206,11666537164,49961188378,55958512679,94252749469,0.0,119820500000.0
48,2009/1/0/0,3346148462,35498943257,44040596641,42219579830,13125792000,64319988261,26291063590,45402697844,0.0,119820500000.0
49,2008/4/0/0,6307445764,42066410073,50612820021,45521572081,35644680000,59013298001,32327447587,54471167365,0.0,119820500000.0
50,2008/3/0/0,3235481246,42155020913,51811489557,12023532899,36833605000,71934647041,38990311334,44666251677,0.0,119820500000.0
51,2008/2/0/0,5549712059,36721416293,45242815449,22798786983,50779479000,66044502578,39553356797,61334686253,0.0,110053450000.0
52,2008/1/0/0,9408551912,54912046440,68546843421,7918637536,89938689000,72605668036,40662305965,96388131013,0.0,110053450000.0
